Country,Gold,Silver,Bronze,Latitude,Longitude,GDP (2018),Population (2018),
Albania,0,0,0,41.15,20.17,15059,2882740,
Andorra,0,0,0,42.55,1.60,3238,77006,
Argentina,0,0,0,-38.42,-63.62,518475,44361150,
Armenia,0,0,0,40.07,45.04,12433,2951745,
Bermuda,0,0,0,32.32,-64.76,6351,62756,
Bosnia $ Her.,0,0,0,43.92,17.68,19782,3323925,
Brazil,0,0,0,-14.24,-51.93,1868613,209469323,
Virgin Isles,0,0,0,18.42,-64.64,1445,29802,
Bulgaria,0,0,0,42.73,25.49,66199,7051608,
Cayman Islands,0,0,0,19.51,-80.57,5485,64174,
Chile,0,0,0,-35.68,-71.54,298231,18729160,
Chinese Taipei,0,0,0,23.70,120.96,579865,23726460,
Croatia,0,0,0,45.10,15.20,60991,4156405,
Cyprus,0,0,0,35.13,33.43,24963,1170125,
Denmark,0,0,0,56.26,9.50,355675,5752126,
Dominica,0,0,0,15.41,-61.37,551,71625,
East Timor,0,0,0,-8.87,125.73,2581,1267974,
Estonia,0,0,0,58.60,25.01,30747,1322920,
Finalnd,0,0,0,61.92,25.75,276878,5522576,
Georgia,0,0,0,42.32,43.36,17600,4002942,
Greece,0,0,0,39.07,21.82,218139,10522246,
Hong Kong,0,0,0,22.40,114.11,362682,7371730,
Iceland,0,0,0,64.96,-19.02,25882,336713,
India,0,0,0,20.59,78.96,2779351,1352642280,
Iran,0,0,0,32.43,53.69,473091,81800188,
Ireland,0,0,0,53.41,-8.24,382674,4818690,
Israel,0,0,0,31.05,34.85,370588,8381516,
Jamaica,0,0,0,18.11,-77.30,15714,2934847,
Kyrgyzstan,0,0,0,41.20,74.77,8093,6304030,
Lebanon,0,0,0,33.85,35.86,56409,6859408,
Lithuania,0,0,0,55.17,23.88,53455,2801264,
Luxembourg,0,0,0,49.82,6.13,70920,604245,
Macedonia,0,0,0,41.61,21.75,12629,2082957,
Malta,0,0,0,35.94,14.38,14549,439248,
Mexico,0,0,0,23.63,-102.55,1223401,126190788,
Moldova,0,0,0,47.41,28.37,11309,4051944,
Monaco,0,0,0,43.75,7.41,7189,38682,
Mongolia,0,0,0,46.86,103.85,13010,3170216,
Montenegro,0,0,0,42.71,19.37,5507,627809,
Morocco,0,0,0,31.79,-7.09,117921,36029093,
Nepal,0,0,0,28.39,84.12,27830,28095714,
Pakistan,0,0,0,30.38,69.35,282346,212228286,
Paraguay,0,0,0,-23.44,-58.44,40308,6956066,
Peru,0,0,0,-9.19,-75.02,222237,31989260,
Philipines,0,0,0,12.88,121.77,313595,106651394,
Portugal,0,0,0,39.40,-8.22,240792,10256193,
Romania,0,0,0,45.94,24.97,239552,19506114,
San marino,0,0,0,43.94,12.46,1638,33785,
Serbia,0,0,0,44.02,21.01,50597,8802754,
Slovakia,0,0,0,48.67,19.70,105956,5453014,
Tajikistan,0,0,0,38.86,71.28,7523,9100835,
Thailand,0,0,0,15.87,100.99,504992,68863514,
Togo,0,0,0,8.62,0.82,5166,7889093,
Tonga,0,0,0,-21.18,175.20,504,82340088,
Turkey,0,0,0,38.96,35.24,771355,82340088,
Uzbekistan,0,0,0,41.38,64.59,50500,32476244,
Venezuela,0,0,0,6.42,-66.59,208339,28887118,
Zimbabwe,0,0,0,-19.02,29.15,24312,14438802,
Kazakhstan,0,0,1,48.02,66.92,179340,18319618,
Latvia,0,1,1,56.88,24.60,34426,1928459,
Spain,0,2,2,40.46,-3.75,1419735,46692858,
New Zealand,0,0,2,-40.90,174.89,207921,4743131,
Belgium,0,1,0,50.50,4.47,543026,11482178,
Slovenia,0,1,1,46.15,15.00,54034,2077837,
Australia,0,2,1,-25.27,133.78,1453871,24898152,
Ukraine,1,0,0,48.38,31.17,130832,44246156,
Hungary,1,0,0,47.16,19.50,157883,9707499,
Poland,1,0,1,51.92,19.15,585661,37921592,
Great Britain,1,0,4,55.38,-3.44,2855297,67141684,
Finland,1,1,4,61.92,25.75,276878,5522576,
Slovakia,1,2,0,48.67,19.70,105956,5453014,
Czech Republic,2,2,3,49.82,15.47,245226,10665677,
Belarus,2,1,0,53.71,27.95,59662,9452617,
Russia,2,6,9,61.52,105.32,1660514,145734038,
Italy,3,2,5,41.87,12.57,2084882,60627291,
Japan,4,5,4,36.20,138.25,4971323,127202192,
Austria,5,3,6,47.52,14.55,455508,8891388,
France,5,4,6,46.23,2.21,2778892,64990511,
Switzerland,5,6,4,46.82,8.23,705141,8525611,
South Korea,5,8,4,35.91,127.77,1720489,51171706,
Sweden,7,6,1,60.13,18.64,556087,9971638,
Netherlands,8,6,6,52.13,5.29,914105,17059560,
United States,9,8,6,37.09,-95.71,20580223,327096265,
Canada,11,8,10,56.13,-106.35,1712562,37074562,
Germany,14,10,7,51.17,10.45,3949549,83124418,
Norway,14,14,11,60.47,8.47,434167,5337962,
