year    expenses   profit
1980    101765     128764
1981    102759     130764
1982    102876     137784
1983    102587     136683
1984    104867     137874
1985    104972     138890
1986    106345     140009
1987    105345     139513
1988    104876     140123
1989    106356     140112
1990    107843     142765
1991    109456     148532
1992    119764     146424
1993    129805     150243
1994    127653     158752
1995    112098     168763
1996    122876     163658
1997    138766     164694
1998    148763     169764
1999    145435     173765
2000    159874     180063
2001    174765     199145
2002    198763     217747
2003    209654     236994
2004    201765     259642
2005    211765     274527
2006    236576     298653
2007    254987     309752
2008    298764     308753
2009    297653     330003
2010    295467     334325
2011    291487     337494
2012    296532     345758
2013    308764     350123
2014    314326     371352
2015    319626     396734
2016    320041     392342
2017    332123     405123
2018    348865     412723
2019    357789     420234
